,item_id,Wrong_S,Right_S,category,Wrong_W,Right_W,loc,difficulty,reason
10,11,"""그의 발표 내용이 참 가관이였다."""," ""그의 발표 내용이 참 가관이었다.""",0," ""가관이였다"""," ""가관이었다"""," ""그의 발표 내용이 참 [가관이었다].""",2, '가관이다'는 '꼴이 볼 만하다'라는 뜻입니다. 따라서 이 말은 형용사로 분류됩니다. 형용사는 기본형에 어미 '-다' 대신 '-었-'을 결합하여 과거 시제를 나타냅니다.
11,12,"""우리는 점점 가까와지고 있는 것 같아."""," ""우리는 점점 가까워지고 있는 것 같아.""",0," ""가까와지고"""," ""가까워지고"""," ""우리는 점점 [가까워지고] 있는 것 같아.""",1," '가까워지다'는 동사로 쓰이며, '거리가 점점 줄어 들다'라는 뜻이다."
12,13,"""가능한 빨리 도착하도록 해."""," ""가능한 한 빨리 도착하도록 해.""",2," ""가능한"""," ""가능한 한"""," ""[가능한 한] 빨리 도착하도록 해.""",4, '가능한'은 관형어로 뒤에 오는 체언인 명사나 대명사 등을 수식하는 역할을 합니다. 따라서 그 뒤에는 부사가 와야 하는데요. 이때는 '가능한 한'과 같이 띄어 써야 합니다.
13,14,"""가능한 빨리 답변 주세요."""," ""가능한 한 빨리 답변 주세요.""",2," ""가능한"""," ""가능한 한"""," ""[가능한 한] 빨리 답변 주세요.""",4, '가능한'은 관형어로 뒤에 오는 체언인 명사나 대명사 등을 수식하는 역할을 합니다. 따라서 그 뒤에는 부사가 와야 하는데요. 이때는 '가능한 한'과 같이 띄어 써야 합니다.
14,15,"""가능한 모든 방법을 찾아보자."""," ""가능한 한 모든 방법을 찾아보자.""",2," ""가능한"""," ""가능한 한"""," ""[가능한 한] 모든 방법을 찾아보자.""",4, '가능한'은 관형어로 뒤에 오는 체언인 명사나 대명사 등을 수식하는 역할을 합니다. 따라서 그 뒤에는 부사가 와야 하는데요. 이때는 '가능한 한'과 같이 띄어 써야 합니다.
15,16,"""그녀는 손가락으로 저쪽을 가르키고 있었다."""," ""그녀는 손가락으로 저쪽을 가리키고 있었다.""",0," ""가르키고"""," ""가리키고"""," ""그녀는 손가락으로 저쪽을 [가리키고] 있었다.""",2," '가리키다'는 손가락 따위로 어떤 방향이나 대상을 집어서 보이거나 말하거나 알리다는 뜻이고, '가르치다'는 지식이나 기능, 이치 따위를 깨닫거나 익히게 하다는 뜻이다."
16,17,"""그는 항상 올바른 길을 가르키고 있었다."""," ""그는 항상 올바른 길을 가리키고 있었다.""",0," ""가르키고"""," ""가리키고"""," ""그는 항상 올바른 길을 [가리키고] 있었다.""",2," '가리키다'는 손가락 따위로 어떤 방향이나 대상을 집어서 보이거나 말하거나 알리다는 뜻이고, '가르치다'는 지식이나 기능, 이치 따위를 깨닫거나 익히게 하다는 뜻이다."
17,18,"""지도를 가르키며 설명해 주세요."""," ""지도를 가리키며 설명해 주세요.""",0," ""가르키며"""," ""가리키며"""," ""지도를 [가리키며] 설명해 주세요.""",2," '가리키다'는 손가락 따위로 어떤 방향이나 대상을 집어서 보이거나 말하거나 알리다는 뜻이고, '가르치다'는 지식이나 기능, 이치 따위를 깨닫거나 익히게 하다는 뜻이다."
18,19,"""가벼운 마음으로 가벼히 시작해 보자."""," ""가벼운 마음으로 가벼이 시작해 보자.""",0," ""가벼히"""," ""가벼이"""," ""가벼운 마음으로 [가벼이] 시작해 보자.""",1," 부사 '가벼이'는 '가볍다'에서 파생된 말로, '가볍게'와 같은 뜻이다."
19,20,"""책임을 가벼히 여기지 말고 신중히 행동해라."""," ""책임을 가벼이 여기지 말고 신중히 행동해라.""",0," ""가벼히"""," ""가벼이"""," ""책임을 [가벼이] 여기지 말고 신중히 행동해라.""",1," 부사 '가벼이'는 '가볍다'에서 파생된 말로, '가볍게'와 같은 뜻이다."
20,21,"""바람에 흔들리는 꽃잎이 가벼히 춤추고 있었다."""," ""바람에 흔들리는 꽃잎이 가벼이 춤추고 있었다.""",0," ""가벼히"""," ""가벼이"""," ""바람에 흔들리는 꽃잎이 [가벼이] 춤추고 있었다.""",1," 부사 '가벼이'는 '가볍다'에서 파생된 말로, '가볍게'와 같은 뜻이다."
21,22,"""그녀는 그의 코를 간지르고 있었다."""," ""그녀는 그의 코를 간질이고 있었다.""",0," ""간지르고"""," ""간질이고"""," ""그녀는 그의 코를 [간질이고] 있었다.""",4, '간지르다'는 표준어가 아니다.
22,23,"""그녀는 간지르는 걸 좋아한다."""," ""그녀는 간질이는 걸 좋아한다.""",1," ""간지르는"""," ""간질이는"""," ""그녀는 [간질이는] 걸 좋아한다.""",4, '간지르다'는 표준어가 아니다.
23,24,"""아이들은 간지르는 놀이를 했다."""," ""아이들은 간질이는 놀이를 했다.""",1," ""간지르는"""," ""간질이는"""," ""아이들은 [간질이는] 놀이를 했다.""",4, '간지르다'는 표준어가 아니다.
24,25,"""친구가 다른 강아지를 간지르는 것을 봤어."""," ""친구가 다른 강아지를 간질이는 것을 봤어.""",1," ""간지르는"""," ""간질이는"""," ""친구가 다른 강아지를 [간질이는] 것을 봤어.""",4, '간지르다'는 표준어가 아니다.
25,26,"""간지르는 손길에 아기가 깔깔 웃었다."""," ""간질이는 손길에 아기가 깔깔 웃었다.""",1," ""간지르는"""," ""간질이는"""," ""[간질이는] 손길에 아기가 깔깔 웃었다.""",4, '간지르다'는 표준어가 아니다.
26,27,"""그 장난감은 간지르는 기능이 있다."""," ""그 장난감은 간질이는 기능이 있다.""",1," ""간지르는"""," ""간질이는"""," ""그 장난감은 [간질이는] 기능이 있다.""",4, '간지르다'는 표준어가 아니다.
27,28,"""손가락으로 강아지의 배를 간지르다가 웃겼다."""," ""손가락으로 강아지의 배를 간질이다가 웃겼다.""",0," ""간지르다가"""," ""간질이다가"""," ""손가락으로 강아지의 배를 [간질이다가] 웃겼다.""",4," '간질이다'는 '간지럽히다'와 같은 뜻이며, '-지 말다' 구성은 띄어 써야 한다."
28,29,"""그는 그녀의 등을 간지르며 장난쳤다."""," ""그는 그녀의 등을 간질이며 장난쳤다.""",0," ""간지르며"""," ""간질이며"""," ""그는 그녀의 등을 [간질이며] 장난쳤다.""",4," '간질이다'는 '간지럽히다'와 같은 뜻이며, '-지 말다' 구성은 띄어 써야 한다."
29,30,"""농부들은 쌓아둔 건초를 갈가리 찢어지게 했다."""," ""농부들은 쌓아둔 건초를 갈갈이 찢어지게 했다.""",0," ""갈가리"""," ""갈갈이"""," ""농부들은 쌓아둔 건초를 [갈갈이] 찢어지게 했다.""",2, ‘갈가리’는 ‘여러 가닥으로 갈라지거나 찢어진 모양’을 뜻하는 부사이다.
30,31,"""지금 민수는 개구장이 같아."""," ""지금 민수는 개구쟁이 같아.""",0," ""개구장이"""," ""개구쟁이"""," ""지금 민수는 [개구쟁이] 같아.""",1," ‘개구쟁이’는 어린아이가 하는 미운 짓이나 장난을 많이 하는 사람을 뜻하는 말로, 접미사 ‘-장이’와 혼동하기 쉽다."
31,32,"""어제 보니까 철수는 완전 개구장이네."""," ""어제 보니까 철수는 완전 개구쟁이네.""",0," ""개구장이"""," ""개구쟁이"""," ""어제 보니까 철수는 완전 [개구쟁이]네.""",1," ‘개구쟁이’는 어린아이가 하는 미운 짓이나 장난을 많이 하는 사람을 뜻하는 말로, 접미사 ‘-장이’와 혼동하기 쉽다."
32,33,"""소영이는 너무 개구장이 같아서 통제가 안 돼."""," ""소영이는 너무 개구쟁이 같아서 통제가 안 돼.""",0," ""개구장이"""," ""개구쟁이"""," ""소영이는 너무 [개구쟁이] 같아서 통제가 안 돼.""",1," ‘개구쟁이’는 어린아이가 하는 미운 짓이나 장난을 많이 하는 사람을 뜻하는 말로, 접미사 ‘-장이’와 혼동하기 쉽다."
33,34,"""이번 달에 구입한 물건의 갯수를 정리해 보자."""," ""이번 달에 구입한 물건의 개수를 정리해 보자.""",0," ""갯수"""," ""개수"""," ""이번 달에 구입한 물건의 [개수]를 정리해 보자.""",1," '개수'는 한자어와 고유어가 결합한 합성어로, 사이시옷이 들어가 '개수'로 표기한다."
34,35,"""이 상자 안에는 몇 가지의 여러 가지가 있는지 갯수를 세어 봅시다."""," ""이 상자 안에는 몇 가지의 여러 가지가 있는지 개수를 세어 봅시다.""",0," ""갯수"""," ""개수"""," ""이 상자 안에는 몇 가지의 여러 가지가 있는지 [개수]를 세어 봅시다.""",1," '개수'는 한자어와 고유어가 결합한 합성어로, 사이시옷이 들어가 '개수'로 표기한다."
35,36,"""프로젝트에서 사용된 파일들의 갯수를 체크해 주세요."""," ""프로젝트에서 사용된 파일들의 개수를 체크해 주세요.""",0," ""갯수"""," ""개수"""," ""프로젝트에서 사용된 파일들의 [개수]를 체크해 주세요.""",1," '개수'는 한자어와 고유어가 결합한 합성어로, 사이시옷이 들어가 '개수'로 표기한다."
36,37,"""문서의 페이지 갯수를 확인해 주세요."""," ""문서의 페이지 개수를 확인해 주세요.""",0," ""갯수"""," ""개수"""," ""문서의 페이지 [개수]를 확인해 주세요.""",1," '개수'는 한자어와 고유어가 결합한 합성어로, 사이시옷이 들어가 '개수'로 표기한다."
37,38,"""아이들에게 필요한 물건 갯수를 세어보세요."""," ""아이들에게 필요한 물건 개수를 세어보세요.""",0," ""갯수"""," ""개수"""," ""아이들에게 필요한 물건 [개수]를 세어보세요.""",1," '개수'는 한자어와 고유어가 결합한 합성어로, 사이시옷이 들어가 '개수'로 표기한다."
38,39,"""필요한 자료 갯수를 저에게 알려주세요."""," ""필요한 자료 개수를 저에게 알려주세요.""",0," ""갯수"""," ""개수"""," ""필요한 자료 [개수]를 저에게 알려주세요.""",1," '개수'는 한자어와 고유어가 결합한 합성어로, 사이시옷이 들어가 '개수'로 표기한다."
39,40,"""수업 시간에 나눠줄 자료 갯수를 미리 인쇄해주세요."""," ""수업 시간에 나눠줄 자료 개수를 미리 인쇄해주세요.""",0," ""갯수"""," ""개수"""," ""수업 시간에 나눠줄 자료 [개수]를 미리 인쇄해주세요.""",1," '개수'는 한자어와 고유어가 결합한 합성어로, 사이시옷이 들어가 '개수'로 표기한다."
40,41,"""그게 맞는 거에요?"""," ""그게 맞는 거예요?""",0," ""거에요"""," ""거예요"""," ""그게 맞는 [거예요]?""",2," '거'는 '것'을 구어적으로 이르는 말이고, '-이다'가 줄어든 형태인 '-다' 뒤에 어미 '-에요'가 붙은 '-이에요'의 준말은 '예요'입니다. 따라서 '거+이+에요'로 이루어진 '거이에요' 또는 '거예요'와 같이 적습니다."
41,42,"""이게 정말 가능한 거에요?"""," ""이게 정말 가능한 거예요?""",0," ""거에요"""," ""거예요"""," ""이게 정말 가능한 [거예요]?""",2," '거'는 '것'을 구어적으로 이르는 말이고, '-이다'가 줄어든 형태인 '-다' 뒤에 어미 '-에요'가 붙은 '-이에요'의 준말은 '예요'입니다. 따라서 '거+이+에요'로 이루어진 '거이에요' 또는 '거예요'와 같이 적습니다."
42,43,"""저녁은 함께 먹자는 거에요?"""," ""저녁은 함께 먹자는 거예요?""",0," ""거에요"""," ""거예요"""," ""저녁은 함께 먹자는 [거예요]?""",2," '거'는 '것'을 구어적으로 이르는 말이고, '-이다'가 줄어든 형태인 '-다' 뒤에 어미 '-에요'가 붙은 '-이에요'의 준말은 '예요'입니다. 따라서 '거+이+에요'로 이루어진 '거이에요' 또는 '거예요'와 같이 적습니다."
43,44,"""내일 시험 볼 거에요."""," ""내일 시험 볼 거예요.""",0," ""거에요"""," ""거예요"""," ""내일 시험 볼 [거예요].""",2," '거'는 '것'을 구어적으로 이르는 말이고, '-이다'가 줄어든 형태인 '-다' 뒤에 어미 '-에요'가 붙은 '-이에요'의 준말은 '예요'입니다. 따라서 '거+이+에요'로 이루어진 '거이에요' 또는 '거예요'와 같이 적습니다."
44,45,"""그럴 수 있는 거에요?"""," ""그럴 수 있는 거예요?""",0," ""거에요"""," ""거예요"""," ""그럴 수 있는 [거예요]?""",2," '거'는 '것'을 구어적으로 이르는 말이고, '-이다'가 줄어든 형태인 '-다' 뒤에 어미 '-에요'가 붙은 '-이에요'의 준말은 '예요'입니다. 따라서 '거+이+에요'로 이루어진 '거이에요' 또는 '거예요'와 같이 적습니다."
45,46,"""정말 그럴 거에요?"""," ""정말 그럴 거예요?""",0," ""거에요"""," ""거예요"""," ""정말 그럴 [거예요]?""",2," '거'는 '것'을 구어적으로 이르는 말이고, '-이다'가 줄어든 형태인 '-다' 뒤에 어미 '-에요'가 붙은 '-이에요'의 준말은 '예요'입니다. 따라서 '거+이+에요'로 이루어진 '거이에요' 또는 '거예요'와 같이 적습니다."
46,47,"""이게 바로 우리가 원하는 거에요."""," ""이게 바로 우리가 원하는 거예요.""",0," ""거에요"""," ""거예요"""," ""이게 바로 우리가 원하는 [거예요].""",2," '거'는 '것'을 구어적으로 이르는 말이고, '-이다'가 줄어든 형태인 '-다' 뒤에 어미 '-에요'가 붙은 '-이에요'의 준말은 '예요'입니다. 따라서 '거+이+에요'로 이루어진 '거이에요' 또는 '거예요'와 같이 적습니다."
47,48,"""방이 너무 좁아서 거치장스러운 물건들이 많아."""," ""방이 너무 좁아서 거추장스러운 물건들이 많아.""",0," ""거치장스러운"""," ""거추장스러운"""," ""방이 너무 좁아서 [거추장스러운] 물건들이 많아.""",3, '거추장스럽다'는 '일이나 물건 따위가 성가시고 귀찮다'라는 뜻이다.
48,49,"""이 옷은 거치장스럽고 불편해."""," ""이 옷은 거추장스럽고 불편해.""",0," ""거치장스럽고"""," ""거추장스럽고"""," ""이 옷은 [거추장스럽고] 불편해.""",3, '거추장스럽다'는 '일이나 물건 따위가 성가시고 귀찮다'라는 뜻이다.
49,50,"""된장국은 건데기가 많아서 좋아."""," ""된장국은 건더기가 많아서 좋아.""",0," ""건데기"""," ""건더기"""," ""된장국은 [건더기]가 많아서 좋아.""",1, '건데기'는 '건더기'의 잘못된 말이다.
50,51,"""국물만 마시지 말고 건데기도 먹어."""," ""국물만 마시지 말고 건더기도 먹어.""",0," ""건데기"""," ""건더기"""," ""국물만 마시지 말고 [건더기]도 먹어.""",1, '건데기'는 '건더기'의 잘못된 말이다.
51,52,"""라면에 건데기가 없으면 아쉽다."""," ""라면에 건더기가 없으면 아쉽다.""",0," ""건데기"""," ""건더기"""," ""라면에 [건더기]가 없으면 아쉽다.""",1, '건데기'는 '건더기'의 잘못된 말이다.
52,53,"""그건 건들여선 안 되는 주제야."""," ""그건 건드려선 안 되는 주제야.""",0," ""건들여선"""," ""건드려선"""," ""그건 [건드려선] 안 되는 주제야.""",2, ‘건드리다’는 동사로 “손으로 만지거나 무엇으로 대다”라는 뜻이다
53,54,"""지나가는 사람의 화를 괜히 건들였다."""," ""지나가는 사람의 화를 괜히 건드렸다.""",0," ""건들였다"""," ""건드렸다"""," ""지나가는 사람의 화를 괜히 [건드렸다].""",2,"건드리다는 자극하거나 영향을 주는 동사이며, ""건들이다""는 비표준어이다."
54,55,"""조심성 없이 기계장치를 자꾸 건들이다가 고장 내고 말았다."""," ""조심성 없이 기계장치를 자꾸 건드리다가 고장 내고 말았다.""",0," ""건들이다가"""," ""건드리다가"""," ""조심성 없이 기계장치를 자꾸 [건드리다가] 고장 내고 말았다.""",2, ‘건드리다’는 동사로 “손으로 만지거나 무엇으로 대다”라는 뜻이다
55,56,"""너무 민감한 주제라 건들면 안 돼."""," ""너무 민감한 주제라 건드리면 안 돼.""",0," ""건들면"""," ""건드리면"""," ""너무 민감한 주제라 [건드리면] 안 돼.""",2, ‘건드리다’는 동사로 “손으로 만지거나 무엇으로 대다”라는 뜻이다
56,57,"""책상 위 물건을 건들이지 말라고 했잖아."""," ""책상 위 물건을 건드리지 말라고 했잖아.""",0," ""건들이지"""," ""건드리지"""," ""책상 위 물건을 [건드리지] 말라고 했잖아.""",2, ‘건드리다’는 동사로 “손으로 만지거나 무엇으로 대다”라는 뜻이다
57,58,"""고양이를 건들지 마라니깐!"""," ""고양이를 건드리지 마라니깐!""",0," ""건들지"""," ""건드리지"""," ""고양이를 [건드리지] 마라니깐!""",2, ‘건드리다’는 동사로 “손으로 만지거나 무엇으로 대다”라는 뜻이다
58,59,"""일의 진행 상황을 겉잡기 어려웠다."""," ""일의 진행 상황을 걷잡기 어려웠다.""",1," ""겉잡기"""," ""걷잡기"""," ""일의 진행 상황을 [걷잡기] 어려웠다.""",3," ‘겉잡다’는 ‘겉으로 보고 대강 짐작하여 헤아리다. ’라는 뜻이고, ‘걷잡다’는 ‘한 방향으로 치우쳐 흘러가는 형세 따위를 붙들어 잡다. ’라는 뜻이다."
59,60,"""사태를 겉잡을 수 없게 되었다."""," ""사태를 걷잡을 수 없게 되었다.""",1," ""겉잡을"""," ""걷잡을"""," ""사태를 [걷잡을] 수 없게 되었다.""",3," ‘겉잡다’는 ‘겉으로 보고 대강 짐작하여 헤아리다. ’라는 뜻이고, ‘걷잡다’는 ‘한 방향으로 치우쳐 흘러가는 형세 따위를 붙들어 잡다. ’라는 뜻이다."
60,61,"""그 사건 이후로 상황이 겉잡을 수 없이 악화되었다."""," ""그 사건 이후로 상황이 걷잡을 수 없이 악화되었다.""",1," ""겉잡을"""," ""걷잡을"""," ""그 사건 이후로 상황이 [걷잡을] 수 없이 악화되었다.""",3," ‘겉잡다’는 ‘겉으로 보고 대강 짐작하여 헤아리다. ’라는 뜻이고, ‘걷잡다’는 ‘한 방향으로 치우쳐 흘러가는 형세 따위를 붙들어 잡다. ’라는 뜻이다."
61,62,"""그에게는 공무원이 걸맞는 직업이다."""," ""그에게는 공무원이 걸맞은 직업이다.""",0," ""걸맞는"""," ""걸맞은"""," ""그에게는 공무원이 [걸맞은] 직업이다.""",2,"걸맞다는 형용사이기 때문에 활용할 때 어미는 ""-은""만 결합하여 ""걸맞은""으로만 씁니다. "
62,63,"""그 드레스는 파티에 걸맞는 스타일이지 않다."""," ""그 드레스는 파티에 걸맞은 스타일이지 않다.""",0," ""걸맞는"""," ""걸맞은"""," ""그 드레스는 파티에 [걸맞은] 스타일이지 않다.""",2,"걸맞다는 형용사이기 때문에 활용할 때 어미는 ""-은""만 결합하여 ""걸맞은""으로만 씁니다. "
63,64,"""이 차는 그의 새로운 이미지에 걸맞는 차다."""," ""이 차는 그의 새로운 이미지에 걸맞은 차다.""",0," ""걸맞는"""," ""걸맞은"""," ""이 차는 그의 새로운 이미지에 [걸맞은] 차다.""",2,"걸맞다는 형용사이기 때문에 활용할 때 어미는 ""-은""만 결합하여 ""걸맞은""으로만 씁니다. "
64,65,"""이 자료는 오늘 신문에 게제되었어."""," ""이 자료는 오늘 신문에 게재되었어.""",0," ""게제되었어"""," ""게재되었어"""," ""이 자료는 오늘 신문에 [게재되었어].""",3," '게재하다'는 글이나 그림 따위를 신문이나 잡지 따위에 실음을 뜻하는 말로, '게제하다'라는 단어는 없다."
65,66,"""다음 주에 잡지에 저의 이야기가 게제될 예정입니다."""," ""다음 주에 잡지에 저의 이야기가 게재될 예정입니다.""",0," ""게제될"""," ""게재될"""," ""다음 주에 잡지에 저의 이야기가 [게재될] 예정입니다.""",3," '게재하다'는 글이나 그림 따위를 신문이나 잡지 따위에 실음을 뜻하는 말로, '게제하다'라는 단어는 없다."
66,67,"""그는 자신의 작품을 소셜미디어에 게제하는 것을 주저하지 않았다."""," ""그는 자신의 작품을 소셜미디어에 게재하는 것을 주저하지 않았다.""",0," ""게제하는"""," ""게재하는"""," ""그는 자신의 작품을 소셜미디어에 [게재하는] 것을 주저하지 않았다.""",3," '게재하다'는 글이나 그림 따위를 신문이나 잡지 따위에 실음을 뜻하는 말로, '게제하다'라는 단어는 없다."
67,68,"""전달받은 서류의 결제를 빠르게 처리해주세요."""," ""전달받은 서류의 결재를 빠르게 처리해주세요.""",1," ""결제"""," ""결재"""," ""전달받은 서류의 [결재]를 빠르게 처리해주세요.""",3,"결제는 돈을 주고받아 거래를 끝내는 것, 결재는 상급자가 승인하거나 허가하는 것을 의미한다."
68,69,"""결제 서류가 마지막 단계에 도달했습니다."""," ""결재 서류가 마지막 단계에 도달했습니다.""",1," ""결제"""," ""결재"""," ""[결재] 서류가 마지막 단계에 도달했습니다.""",3,"결제는 돈을 주고받아 거래를 끝내는 것, 결재는 상급자가 승인하거나 허가하는 것을 의미한다."
69,70,"""결재를 마치고 내 계좌를 확인했다."""," ""결제를 마치고 내 계좌를 확인했다.""",1," ""결재"""," ""결제"""," ""[결제]를 마치고 내 계좌를 확인했다.""",3,"결제는 돈을 주고받아 거래를 끝내는 것, 결재는 상급자가 승인하거나 허가하는 것을 의미한다."
70,71,"""이번 프로젝트에 대한 결제를 진행합시다."""," ""이번 프로젝트에 대한 결재를 진행합시다.""",1," ""결제"""," ""결재"""," ""이번 프로젝트에 대한 [결재]를 진행합시다.""",3,"결제는 돈을 주고받아 거래를 끝내는 것, 결재는 상급자가 승인하거나 허가하는 것을 의미한다."
71,72,"""매니저의 결제를 받아야 진행할 수 있습니다."""," ""매니저의 결재를 받아야 진행할 수 있습니다.""",1," ""결제"""," ""결재"""," ""매니저의 [결재]를 받아야 진행할 수 있습니다.""",3,"결제는 돈을 주고받아 거래를 끝내는 것, 결재는 상급자가 승인하거나 허가하는 것을 의미한다."
72,73,"""점심값을 결재하려 한다."""," ""점심값을 결제하려 한다.""",1," ""결재"""," ""결제"""," ""점심값을 [결제]하려 한다.""",3,"결제는 돈을 주고받아 거래를 끝내는 것, 결재는 상급자가 승인하거나 허가하는 것을 의미한다."
73,74,"""온라인 쇼핑몰에서 제품을 결재했다."""," ""온라인 쇼핑몰에서 제품을 결제했다.""",1," ""결재"""," ""결제"""," ""온라인 쇼핑몰에서 제품을 [결제]했다.""",3,"결제는 돈을 주고받아 거래를 끝내는 것, 결재는 상급자가 승인하거나 허가하는 것을 의미한다."
74,75,"""이 카드로 결재를 완료해주세요."""," ""이 카드로 결제를 완료해주세요.""",1," ""결재"""," ""결제"""," ""이 카드로 [결제]를 완료해주세요.""",3,"결제는 돈을 주고받아 거래를 끝내는 것, 결재는 상급자가 승인하거나 허가하는 것을 의미한다."
75,76,"""여름엔 겨땀이 많이 나서 불편해."""," ""여름엔 곁땀이 많이 나서 불편해.""",0," ""겨땀"""," ""곁땀"""," ""여름엔 [곁땀]이 많이 나서 불편해.""",5," '겨드랑이'와 '땀'이 합쳐진 말로, 겨드랑이에서 나는 땀을 속되게 이르는 말이다. 표준어는 '곁땀'이다."
76,77,"""더운 날씨 때문에 겨땀이 줄줄 흐른다."""," ""더운 날씨 때문에 곁땀이 줄줄 흐른다.""",0," ""겨땀"""," ""곁땀"""," ""더운 날씨 때문에 [곁땀]이 줄줄 흐른다.""",5," '겨드랑이'와 '땀'이 합쳐진 말로, 겨드랑이에서 나는 땀을 속되게 이르는 말이다. 표준어는 '곁땀'이다."
77,78,"""운동 후에는 겨땀이 심하게 나서 갈아입어야 했다."""," ""운동 후에는 곁땀이 심하게 나서 갈아입어야 했다.""",0," ""겨땀"""," ""곁땀"""," ""운동 후에는 [곁땀]이 심하게 나서 갈아입어야 했다.""",5," '겨드랑이'와 '땀'이 합쳐진 말로, 겨드랑이에서 나는 땀을 속되게 이르는 말이다. 표준어는 '곁땀'이다."
78,79,"""여름에는 겨땀이 너무 나서 불편해."""," ""여름에는 곁땀이 너무 나서 불편해.""",0," ""겨땀"""," ""곁땀"""," ""여름에는 [곁땀]이 너무 나서 불편해.""",5," '겨드랑이'와 '땀'이 합쳐진 말로, 겨드랑이에서 나는 땀을 속되게 이르는 말이다. 표준어는 '곁땀'이다."
79,80,"""난 여름철 겨땀 때문에 힘들어."""," ""난 여름철 곁땀 때문에 힘들어.""",0," ""겨땀"""," ""곁땀"""," ""난 여름철 [곁땀] 때문에 힘들어.""",5," '겨드랑이'와 '땀'이 합쳐진 말로, 겨드랑이에서 나는 땀을 속되게 이르는 말이다. 표준어는 '곁땀'이다."
